pack,file,slot,theme,width,height,orig
umbra,packs/umbra/hero-01.jpg,hero,,3168,1344,v3:pilot-a.png
umbra,packs/umbra/hero-02.jpg,hero,,3168,1344,v3:pilot-b.png
umbra,packs/umbra/hero-03.jpg,hero,,3168,1344,v3:umbra-hero-03.png
umbra,packs/umbra/hero-04.jpg,hero,,3168,1344,v3:umbra-hero-04.png
umbra,packs/umbra/hero-05.jpg,hero,,3168,1344,v3:umbra-hero-05.png
umbra,packs/umbra/hero-06.jpg,hero,,3168,1344,v3:umbra-hero-06.png
umbra,packs/umbra/ambient-01.jpg,ambient,,1920,1072,v3:umbra-ambient-01.png
umbra,packs/umbra/ambient-02.jpg,ambient,,1920,1072,v3:umbra-ambient-02.png
umbra,packs/umbra/ambient-03.jpg,ambient,,1920,1072,v3:umbra-ambient-03.png
umbra,packs/umbra/ambient-04.jpg,ambient,,1920,1072,v3:umbra-ambient-04.png
umbra,packs/umbra/ambient-05.jpg,ambient,,1920,1072,v3:umbra-ambient-05.png
umbra,packs/umbra/ambient-06.jpg,ambient,,1920,1072,v3:umbra-ambient-06.png
umbra,packs/umbra/split-01.jpg,split,,1547,1920,v3:umbra-split-01.png
umbra,packs/umbra/split-02.jpg,split,,1547,1920,v3:umbra-split-02.png
umbra,packs/umbra/framed-01.jpg,framed,,1920,1434,v3:umbra-framed-01.png
umbra,packs/umbra/framed-02.jpg,framed,,1920,1434,v3:umbra-framed-02.png
umbra,packs/umbra/card-01.jpg,card,,1920,1288,v3:umbra-card-01.png
umbra,packs/umbra/card-02.jpg,card,,1920,1920,v3:umbra-card-02.png
atelier,packs/atelier/hero-06.jpg,hero,,3168,1344,v3:NEW-atelier-hero.png
campus,packs/campus/hero-02.jpg,hero,,3168,1344,v3:NEW-campus-hero-a.png
campus,packs/campus/hero-03.jpg,hero,,3168,1344,v3:NEW-campus-hero-b.png
companion,packs/companion/hero-03.jpg,hero,,3168,1344,v3:NEW-companion-hero.png
counsel,packs/counsel/hero-03.jpg,hero,,3168,1344,v3:NEW-counsel-hero.png
gather,packs/gather/hero-02.jpg,hero,,3168,1344,v3:NEW-gather-hero.png
lumen,packs/lumen/hero-03.jpg,hero,,3168,1344,v3:NEW-lumen-hero.png
solstice,packs/solstice/hero-06.jpg,hero,,3168,1344,v3:NEW-solstice-hero.png
stillwater,packs/stillwater/hero-06.jpg,hero,,3168,1344,v3:NEW-stillwater-hero.png
vital,packs/vital/hero-03.jpg,hero,,3168,1344,v3:NEW-vital-hero.png
workspace,packs/workspace/hero-06.jpg,hero,,3168,1344,v3:NEW-workspace-hero.png
alpine-modern,packs/alpine-modern/hero-06.jpg,hero,,3168,1344,v3:NEW-alpine-hero.png
ember,packs/ember/hero-06.jpg,hero,,3168,1344,v3:NEW-ember-hero.png
meridian,packs/meridian/hero-06.jpg,hero,,3168,1344,v3:NEW-meridian-hero.png
atelier,packs/atelier/ambient-03.jpg,ambient,,1920,1072,v3:NEW-atelier-ambient.png
campus,packs/campus/ambient-03.jpg,ambient,,1920,1072,v3:NEW-campus-ambient.png
counsel,packs/counsel/ambient-03.jpg,ambient,,1920,1072,v3:NEW-counsel-ambient.png
gather,packs/gather/ambient-03.jpg,ambient,,1920,1072,v3:NEW-gather-ambient.png
lumen,packs/lumen/ambient-03.jpg,ambient,,1920,1072,v3:NEW-lumen-ambient.png
solstice,packs/solstice/ambient-03.jpg,ambient,,1920,1072,v3:NEW-solstice-ambient.png
companion,packs/companion/ambient-02.jpg,ambient,,1920,1072,v3:NEW-companion-ambient.png
stillwater,packs/stillwater/ambient-03.jpg,ambient,,1920,1072,v3:NEW-stillwater-ambient.png
vital,packs/vital/ambient-03.jpg,ambient,,1920,1072,v3:NEW-vital-ambient.png
workspace,packs/workspace/ambient-03.jpg,ambient,,1920,1072,v3:NEW-workspace-ambient.png
theme-ambient,packs/theme-ambient/clarity-ambient-02.jpg,ambient,clarity,1920,1072,v3:TA-clarity.png
theme-ambient,packs/theme-ambient/graphite-ambient-02.jpg,ambient,graphite,1920,1072,v3:TA-graphite.png
theme-ambient,packs/theme-ambient/neo-brutalism-ambient-02.jpg,ambient,neo-brutalism,1920,1072,v3:TA-neo-brutalism.png
theme-ambient,packs/theme-ambient/cyberpunk-ambient-02.jpg,ambient,cyberpunk,1920,1072,v3:TA-cyberpunk.png
theme-ambient,packs/theme-ambient/flowrunner-ambient-02.jpg,ambient,flowrunner,1920,1072,v3:TA-flowrunner.png
theme-ambient,packs/theme-ambient/ocean-ambient-02.jpg,ambient,ocean,1920,1072,v3:TA-ocean.png
theme-ambient,packs/theme-ambient/terminal-ambient-02.jpg,ambient,terminal,1920,1072,v3:TA-terminal.png
theme-ambient,packs/theme-ambient/soft-ambient-02.jpg,ambient,soft,1920,1072,v3:TA-soft.png
theme-ambient,packs/theme-ambient/soft-pop-ambient-02.jpg,ambient,soft pop,1920,1072,v3:TA-soft-pop.png
theme-ambient,packs/theme-ambient/editorial-ambient-02.jpg,ambient,editorial,1920,1072,v3:TA-editorial.png
theme-ambient,packs/theme-ambient/notebook-ambient-02.jpg,ambient,notebook,1920,1072,v3:TA-notebook.png
