pack,file,slot,theme,width,height,orig
ledger,packs/ledger/ambient-01.jpg,ambient,,1376,768,ledger/ambient-01.png
ledger,packs/ledger/ambient-02.jpg,ambient,,1376,768,ledger/ambient-02.png
ledger,packs/ledger/card-01.jpg,card,,1264,848,ledger/card-01.png
ledger,packs/ledger/card-02.jpg,card,,1024,1024,ledger/card-02.png
ledger,packs/ledger/framed-01.jpg,framed,,1200,896,ledger/framed-01.png
ledger,packs/ledger/framed-02.jpg,framed,,1200,896,ledger/framed-02.png
ledger,packs/ledger/hero-01.jpg,hero,,3168,1344,ledger/hero-01.png
ledger,packs/ledger/hero-02.jpg,hero,,3168,1344,ledger/hero-02.png
ledger,packs/ledger/hero-03.jpg,hero,,2752,1536,ledger/hero-03.png
ledger,packs/ledger/split-01.jpg,split,,928,1152,ledger/split-01.png
ledger,packs/ledger/split-02.jpg,split,,928,1152,ledger/split-02.png
ledger,packs/ledger/ambient-03.jpg,ambient,,1344,768,ledger-legacy/ambient-01.jpg
ledger,packs/ledger/ambient-04.jpg,ambient,,1536,672,ledger-legacy/ambient-02.png
ledger,packs/ledger/card-03.jpg,card,,1536,672,ledger-legacy/card-01.png
ledger,packs/ledger/card-04.jpg,card,,1344,752,ledger-legacy/card-02.png
ledger,packs/ledger/hero-04.jpg,hero,,2544,1456,ledger-legacy/hero-01.jpg
ledger,packs/ledger/hero-05.jpg,hero,,2544,1456,ledger-legacy/hero-02.jpg
ledger,packs/ledger/hero-06.jpg,hero,,1344,752,ledger-legacy/hero-03.png
ledger,packs/ledger/hero-07.jpg,hero,,1536,672,ledger-legacy/hero-04.png
ember,packs/ember/framed-01.jpg,framed,,1200,896,ember/framed-02-01.png
ember,packs/ember/hero-01.jpg,hero,,3168,1344,ember/hero-01-02.png
ember,packs/ember/hero-02.jpg,hero,,3168,1344,ember/hero-02-04.png
stillwater,packs/stillwater/ambient-01.jpg,ambient,,1376,768,stillwater/ambient-01.png
stillwater,packs/stillwater/ambient-02.jpg,ambient,,1376,768,stillwater/ambient-02.png
stillwater,packs/stillwater/card-01.jpg,card,,1264,848,stillwater/card-01.png
stillwater,packs/stillwater/card-02.jpg,card,,1024,1024,stillwater/card-02.png
stillwater,packs/stillwater/framed-01.jpg,framed,,1200,896,stillwater/framed-01.png
stillwater,packs/stillwater/framed-02.jpg,framed,,1200,896,stillwater/framed-02.png
stillwater,packs/stillwater/hero-01.jpg,hero,,3168,1344,stillwater/hero-01.png
stillwater,packs/stillwater/hero-02.jpg,hero,,3168,1344,stillwater/hero-02.png
stillwater,packs/stillwater/hero-03.jpg,hero,,2752,1536,stillwater/hero-03.png
stillwater,packs/stillwater/split-01.jpg,split,,928,1152,stillwater/split-01.png
stillwater,packs/stillwater/split-02.jpg,split,,928,1152,stillwater/split-02.png
meridian,packs/meridian/ambient-01.jpg,ambient,,1376,768,meridian/ambient-01.png
meridian,packs/meridian/ambient-02.jpg,ambient,,1376,768,meridian/ambient-02.png
meridian,packs/meridian/card-01.jpg,card,,1264,848,meridian/card-01.png
meridian,packs/meridian/card-02.jpg,card,,1024,1024,meridian/card-02.png
meridian,packs/meridian/framed-01.jpg,framed,,1200,896,meridian/framed-01.png
meridian,packs/meridian/framed-02.jpg,framed,,1200,896,meridian/framed-02.png
meridian,packs/meridian/hero-01.jpg,hero,,3168,1344,meridian/hero-01.png
meridian,packs/meridian/hero-02.jpg,hero,,3168,1344,meridian/hero-02.png
